job,marital,education,default,housing,loan,contact,month,day_of_week,poutcome,target
retired,married,basic.4y,no,yes,no,cellular,jul,wed,nonexistent,0
self-employed,married,university.degree,no,no,no,telephone,jul,wed,nonexistent,0
housemaid,single,professional.course,no,yes,no,cellular,jul,wed,nonexistent,0
technician,married,high.school,no,no,no,cellular,jul,wed,nonexistent,0
blue-collar,married,professional.course,no,yes,no,cellular,jul,wed,nonexistent,0
technician,divorced,professional.course,no,no,no,cellular,jul,wed,nonexistent,0
management,married,university.degree,no,no,no,cellular,jul,wed,nonexistent,1
admin.,single,university.degree,no,no,no,telephone,jul,wed,nonexistent,0
services,single,high.school,no,yes,no,cellular,jul,wed,nonexistent,0
admin.,single,high.school,no,yes,yes,cellular,jul,wed,nonexistent,0
technician,single,university.degree,no,no,no,cellular,jul,wed,nonexistent,0
blue-collar,married,basic.4y,no,no,no,cellular,jul,wed,nonexistent,0
unemployed,single,high.school,no,no,no,telephone,jul,wed,nonexistent,0
management,married,basic.9y,no,yes,no,telephone,jul,wed,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,wed,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,cellular,jul,wed,nonexistent,1
services,married,high.school,unknown,no,yes,cellular,jul,wed,nonexistent,0
services,married,professional.course,unknown,yes,yes,cellular,jul,wed,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,wed,nonexistent,0
blue-collar,single,high.school,no,no,yes,cellular,jul,wed,nonexistent,0
admin.,married,unknown,no,yes,no,cellular,jul,wed,nonexistent,1
management,married,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,0
admin.,divorced,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
technician,married,basic.9y,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
entrepreneur,married,basic.4y,unknown,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,single,high.school,no,no,no,telephone,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,divorced,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
retired,married,basic.9y,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,basic.9y,no,yes,yes,telephone,jul,thu,nonexistent,0
services,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
unknown,married,unknown,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,no,no,no,telephone,jul,thu,nonexistent,0
admin.,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,divorced,university.degree,no,no,yes,telephone,jul,thu,nonexistent,0
admin.,single,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
unemployed,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,divorced,basic.4y,unknown,no,no,telephone,jul,thu,nonexistent,0
admin.,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,divorced,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,divorced,university.degree,unknown,no,yes,cellular,jul,thu,nonexistent,0
admin.,married,high.school,unknown,no,yes,cellular,jul,thu,nonexistent,0
blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
retired,divorced,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
services,divorced,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,single,high.school,unknown,no,no,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,unknown,unknown,cellular,jul,thu,nonexistent,0
entrepreneur,divorced,high.school,no,yes,no,cellular,jul,thu,nonexistent,1
blue-collar,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,divorced,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,unknown,no,yes,telephone,jul,thu,nonexistent,0
blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
services,married,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,1
admin.,divorced,high.school,no,unknown,unknown,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
services,married,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,1
blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,1
technician,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,unknown,unknown,cellular,jul,thu,nonexistent,0
admin.,married,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,nonexistent,0
technician,divorced,university.degree,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,unknown,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,single,basic.4y,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,single,basic.4y,no,no,no,cellular,jul,thu,nonexistent,0
unemployed,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
entrepreneur,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
entrepreneur,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,unknown,unknown,cellular,jul,thu,nonexistent,0
student,divorced,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
entrepreneur,married,basic.4y,unknown,yes,yes,cellular,jul,thu,nonexistent,0
admin.,single,basic.6y,unknown,yes,no,cellular,jul,thu,nonexistent,0
services,married,professional.course,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
housemaid,married,basic.4y,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,single,basic.6y,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,unknown,no,yes,telephone,jul,thu,nonexistent,0
blue-collar,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
self-employed,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
services,divorced,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,unknown,no,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,unknown,yes,no,telephone,jul,thu,nonexistent,0
management,married,university.degree,unknown,yes,no,telephone,jul,thu,nonexistent,0
management,married,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
entrepreneur,divorced,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
technician,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,no,no,telephone,jul,thu,nonexistent,0
services,married,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
housemaid,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
entrepreneur,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,telephone,jul,thu,nonexistent,0
services,married,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
services,divorced,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,nonexistent,1
technician,single,professional.course,no,no,yes,telephone,jul,thu,nonexistent,0
admin.,married,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,single,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
technician,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
entrepreneur,single,university.degree,unknown,no,yes,telephone,jul,thu,nonexistent,0
unemployed,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.4y,no,unknown,unknown,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.6y,unknown,no,no,telephone,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,yes,telephone,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,unknown,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,unknown,no,yes,no,telephone,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,telephone,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,married,professional.course,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,1
technician,single,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,telephone,jul,thu,nonexistent,0
management,married,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
management,married,basic.9y,no,no,no,telephone,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.9y,unknown,no,yes,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,no,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,unknown,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,unknown,unknown,cellular,jul,thu,nonexistent,0
technician,single,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
unemployed,married,high.school,no,unknown,unknown,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
unemployed,married,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
technician,divorced,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,divorced,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,thu,nonexistent,1
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,1
technician,married,professional.course,unknown,yes,no,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,divorced,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,yes,yes,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,telephone,jul,thu,nonexistent,0
technician,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,telephone,jul,thu,nonexistent,0
admin.,married,basic.4y,no,yes,yes,telephone,jul,thu,nonexistent,0
technician,divorced,university.degree,unknown,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
entrepreneur,married,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
self-employed,single,basic.4y,no,no,no,telephone,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,single,basic.4y,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,unknown,no,no,telephone,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
self-employed,divorced,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,unknown,no,no,cellular,jul,thu,nonexistent,0
retired,married,basic.6y,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,yes,cellular,jul,thu,nonexistent,0
self-employed,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,telephone,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,single,basic.4y,no,yes,no,cellular,jul,thu,nonexistent,0
unemployed,married,high.school,unknown,unknown,unknown,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
self-employed,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,single,basic.4y,no,no,yes,cellular,jul,thu,nonexistent,0
management,married,basic.9y,no,yes,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,1
housemaid,married,basic.6y,unknown,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,yes,telephone,jul,thu,nonexistent,0
housemaid,single,professional.course,no,no,yes,cellular,jul,thu,nonexistent,0
housemaid,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
management,married,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,divorced,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
entrepreneur,married,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
self-employed,divorced,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,divorced,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
services,single,high.school,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,single,high.school,unknown,yes,no,telephone,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,1
blue-collar,married,basic.9y,unknown,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,1
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
unemployed,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
management,married,basic.4y,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,divorced,basic.9y,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,unknown,no,yes,telephone,jul,thu,nonexistent,0
admin.,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,1
admin.,divorced,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
services,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
services,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
management,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
unknown,married,unknown,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
technician,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,unknown,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,no,yes,no,telephone,jul,thu,nonexistent,0
unemployed,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
unknown,married,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
unemployed,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,1
admin.,divorced,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,no,yes,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,married,basic.6y,no,no,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
management,divorced,basic.9y,unknown,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,unknown,unknown,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,divorced,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.6y,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
unemployed,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
management,married,professional.course,unknown,yes,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,telephone,jul,thu,nonexistent,0
technician,single,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,telephone,jul,thu,nonexistent,0
admin.,divorced,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
admin.,divorced,university.degree,no,yes,yes,cellular,jul,thu,nonexistent,0
services,married,high.school,no,no,no,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,no,no,cellular,jul,thu,nonexistent,0
services,single,high.school,no,no,no,telephone,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
technician,divorced,unknown,no,yes,no,telephone,jul,thu,nonexistent,0
self-employed,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
blue-collar,single,high.school,no,yes,no,telephone,jul,thu,nonexistent,0
services,single,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
management,married,university.degree,no,no,yes,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,unknown,no,yes,telephone,jul,thu,nonexistent,0
technician,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,yes,telephone,jul,thu,nonexistent,0
blue-collar,divorced,professional.course,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,nonexistent,0
admin.,married,high.school,no,yes,no,telephone,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,basic.6y,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,telephone,jul,thu,nonexistent,0
services,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,high.school,no,yes,yes,cellular,jul,thu,nonexistent,0
self-employed,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
housemaid,married,basic.4y,unknown,no,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,unknown,no,no,cellular,jul,thu,nonexistent,0
technician,married,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
services,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
services,single,high.school,unknown,no,no,telephone,jul,thu,nonexistent,0
technician,married,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
retired,married,basic.4y,no,no,no,telephone,jul,thu,nonexistent,0
technician,single,unknown,unknown,no,yes,cellular,jul,thu,nonexistent,0
admin.,married,high.school,unknown,no,no,cellular,jul,thu,nonexistent,0
admin.,married,university.degree,unknown,no,no,cellular,jul,thu,nonexistent,0
technician,single,university.degree,no,no,no,cellular,jul,thu,nonexistent,0
unemployed,married,high.school,no,yes,no,cellular,jul,thu,nonexistent,0
technician,single,professional.course,no,yes,yes,cellular,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,yes,telephone,jul,thu,nonexistent,0
blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
services,single,high.school,no,no,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
technician,divorced,unknown,no,yes,yes,cellular,jul,thu,nonexistent,0
admin.,married,basic.6y,no,yes,no,cellular,jul,thu,nonexistent,0
admin.,single,basic.9y,no,yes,yes,cellular,jul,thu,nonexistent,0
technician,married,professional.course,no,no,no,telephone,jul,thu,nonexistent,0
admin.,single,university.degree,no,yes,no,cellular,jul,thu,nonexistent,0
self-employed,married,university.degree,unknown,no,no,cellular,jul,thu,nonexistent,0
technician,divorced,unknown,no,yes,no,telephone,jul,thu,nonexistent,0
technician,married,professional.course,no,yes,no,cellular,jul,thu,nonexistent,0
blue-collar,married,basic.9y,no,yes,no,cellular,jul,thu,nonexistent,0
retired,married,basic.9y,unknown,yes,no,cellular,jul,thu,nonexistent,0
